Row,1,2,3,4,5,6,7,8,9,10,11,12
A,0,50,100,200,400,600,1000,2000,3000,5000,7000,10000
B,0,50,100,200,400,600,1000,2000,3000,5000,7000,10000
C,0,50,100,200,400,600,1000,2000,3000,5000,7000,10000
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
